“ 郑州 二七杯 ” 首届 中国 女裤 设计 大赛 圆满 落幕 
 2010年 3月 20日 晚 ， 郑州市 会展 中心 轩辕厅 星光 璀璨 热情 四射 ， 承载 着 梦想 的 闪亮 T台 与 气势 恢宏 开场 音乐 营造 出 一 场 视觉 盛宴 ， 万众瞩目 的 “ 郑州 二七杯 ” 首届 中国 女裤 设计 大赛 决赛 在 这里 隆重 举行 。 中国 纺织 工业 协会 会长 杜钰洲 、 郑州市 人大 常委会 副主任 刘全心 、 郑州市 人民 政府 副市长 孙金献 、 郑州市 政协 副主席 牛西岭 、 中国 服装 协会 常务 副会长 蒋衡杰 、 中国 纺织 工业 协会 副秘书长 夏令敏 、 徐迎新 、 中共 郑州市 二七 区委 书记 朱是西 、 郑州市 人民 政府 副秘书长 张吉 、 郑州市 二七区 人民 政府 区长 王鹏 、 郑州市 工业 和 信息化 委员会 党委 书记 杨虎臣 、 河南省 服装 行业 协会 会长 李国松 、 郑州市 服装 协会 会长 、 大赛 组委会 副秘书长 秦自成 等 政府 相关 领导 以及 各界 嘉宾 500余 人 出席 了 本次 盛会 。 
 本次 大赛 由 中国 服装 协会 、 郑州市 人民 政府 主办 ； 二七区 人民 政府 、 郑州市 工业 和 信息化 委员会 、 《 纺织 服装 周刊 》 杂志社 、 河南省 服装 行业 协会 联合 承办 。 大赛 主题 为 “ 新 生活 。 裤时 尚 ” ， 由于 是 我国 首次 以 女裤 为 主题 的 服装 设计 大赛 ， 因此 被 众多 业内 人士 评为 是 推动 中国 服装 设计 类 大赛 走向 更 具 专业性 服装 设计 大赛 的 “ 里程碑 ” ， 从而 受到 国内外 媒体 的 高度 关注 。 中国 纺织 经济 信息网 、 腾讯 女性 频道 为 本次 大赛 特别 支持 网络 媒体 ， 同时 广西 卫视 特别 为 大赛 制作 长 达 10 分钟 的 专题片 。 
 本次 大赛 共 收到 稿件 815 份 ， 其中 有 17% 是 来自 各 大 服装 品牌 的 设计师 ， 83% 来自 北京 服装 学院 、 清华 美院 、 香港 时装 设计 学院 、 河南 科技 学院 、 陕西 科技 大学 等 40 个 服装 设计 院校 的 学生 。 同时 参赛 选手 来自 包括 北京 、 上海 、 河南 、 广东 、 内蒙古 等 25 个 省市 自治区 、 澳门 行政 特区 、 以及 远至 意大利 和 法国 。 参赛 选手 中年 龄 小 到 新生代 90后 ， 大 到 古稀之年 。 
 在 历时 数 月 漫长 的 选拔 过程 后 ， 有 20 位 80后 90后 的 设计 新秀们 脱颖而出 带 着 100 件 作品 亮相 决赛 T台 ， 他们 用 舞动 的 青春 和 潮流 的 创意 主栽 了 整个 T台 ， 他们 用 一件件 拉风 靓丽 的 作品 演 绎出 “ 我 的 青春 我 做主 ” ， 他们 用 自己 对 时尚 的 理解 与 诠释 征服 了 整个 现场 。 
 评委会 主席 李当岐 带领 专业 评委团 经过 两 个 多 小时 公开 、 公平 、 公正 的 评审 ， 最终 各个 奖 项尘埃 落定 。 金奖 由 上海 年轻 设计师 蔡贺 摘夺 ， 他 的 作品 《 蜕变 》 以 独特 的 艺术 视角 赢得 了 评委们 的 一致 好评 。 银奖 分别 由 张敏 的 作品 《 Newlook 》 和 孙林德 的 作品 《 曲直 之间 》 获得 。 铜奖 由 王冰玉 、 赵国封 的 作品 《 哈e族 》 、 杜凯 的 作品 《 风一韵 》 以及 王培亚 和 王亚培 的 作品 《 畅想ing 》 获得 。 
 决赛 结束 后 ， 对于 本次 大赛 作品 水平 评委们 都 给出 高度 评价 与 肯定 ， 特别是 一 位 来 俄罗斯 的 评委 告诉 记者 ， 她 在 本次 大赛 的 中 看到 很多 非常 优秀 的 效果 图 比 欧洲 设计师 的 还要 好 ， 特别是 选手 的 灵感 来源 和 创意 思维 让 她 很 欣赏 。 而 中国 著名 设计师 刘洋 也 感慨 的 告诉 记者 ， 中国 新一代 80后 设计师 创造力 让 他们 惊讶 与 欣喜 ， 同时 让 他们 看到 了 未来 中国 服装 设计师 在 世界 上 的 发展 前景 。 
 大赛 评委会 主席 、 中国 服装 设计师 协会 副主席 李当岐 教授 给予 本次 大赛 高度 评价 中 说道 ： “ 从 这些 年轻 设计师 的 作品 中 ， 我 看到 了 市场 上 看 不 到 的 设计 。 他们 的 设计 很 大胆 和 创新 。 同时 我 十分 高兴 能 看到 这样 的 大赛 在 中国 举办 ， 首届 女裤 大赛 是 一个 非常 专业性 的 大赛 。 ” 
 作为 本次 大赛 承办方 之一 的 二七区 人民 政府 为 打造 “ 二七 中国 女裤 名城 ” 品牌 共 投入 资金 200万 元 举办 首届 中国 女裤 大赛 ， 同时 奖金 设立 之 高 ， 奖励 之 丰厚 都 创下 了 中国 服装 单品 设计 大赛 之 最 。 金奖 设置 为 10万 元 ， 获奖者 除 享受 郑州市 政府 引进 人才 特别 优惠 政策 外 ， 还 将 免费 使用 位于 二七区 的 中国 郑州 服装 (女 裤) 时尚 创意 产业园 提供 的 100 平方米 的 设计 工作室 。 
 为此 中共 郑州市 二七 区委 书记 朱是西 表示 ： “ 举办 这次 大赛 一方面 想 对 郑州 二七区 当地 裤业 进行 很 好的 宣传 ， 推动 当地 裤业 发展 。 另一方面 想 给 年轻 设计师们 提供 锻炼 平台 ， 给 市场 和 企业 提供 一些 新 的 设计 力量 。 ” 
 这次 由 二七区 承办 的 “ 郑州 二七杯 ” 首届 中国 女裤 设计 大赛 是 在 科学 发展观 的 领导 下 ， 二七区 逐步 把 分散 的 加工 生产 向 产业 集群 转变 ， 实现 从 低端 加工型 向 高端 营销型 和 品牌 建设型 的 飞跃 。 通过 服装 设计 ， 品牌 推进 ， 市场 营销 ， 文化 包装 率先 扛起 中国 女裤 时尚 大旗 ， 改变 中部 地区 服装 工业 在 国内 业界 的 比重 ， 增强 河南 郑州 在 全国 行业 中 话语权 的 份量 。 目前 ， 郑州市 二七区 的 服装 企业 已 发展 到 近 千 家 ， 其中 女裤 企业 企业 占到 80% 以上 ， 服装 年产量 已 超过 8000万 套 (件 ) ， 年产值 达 30亿 元 ， 直接 从事 服装业 的 人员 近 10万 人 ， 培育 了 梦 舒雅 、 兴依璐 、 新丝路 、 纽伦 等 70多 个 国内 一线 知名 女裤 品牌 。 
 选手 编号       作品 名称 、 选手                       奖项 
 19           《 蜕变 》 蔡贺                         金奖 
 3            《 newlook 》 张敏                      银奖 
 15           《 曲直 之间 》 孙林                     银奖 
 17           《 哈e族 》 王冰玉 赵国峰               铜奖 
 7            《 风— 韵 》 杜凯                       铜奖 
 4            《 畅想ing 》 王培亚 王亚培             铜奖 
 1            《 骨文 观止 》 宋培 占             最佳 媒体 印象 奖 
 2            《 朱仙 遗梦 》 安静               最佳 展示 效果 奖 
 10           《 漫步 》 昝雪 霞 贾伟 超          最 具 商业 价值 奖 
 7            《 风— 韵 》 杜凯                 最佳 工艺 制作 奖 
 3            《 newlook 》 张敏                最佳 面料 运用 奖 
 15          《 曲直 之间 》 孙林                最 具 潜力 新秀 奖 
 13          《 夜歌 》 杜家欣                        优秀奖 
 2          《 朱仙 遗梦 》 安静                       优秀奖 
 8          《 City style 》 马世凯                   优秀奖 
 11          《 都市 丽人 》 张凯                      优秀奖 
 14          《 低调 的 奢华 》 王永刚                  优秀奖 
 6          《 90后 》 孟辉                           优秀奖 
 16         《 束缚 》 贺景涛                         优秀奖 
 10         《 漫步 》 昝雪 霞 贾伟 超                  优秀奖 
 1          《 骨文 观止 》 宋培 占                     优秀奖 
 9          《 异酷 》 侯丽丽                         优秀奖 

 
